Timestamp	Student ID Number	Grade Level	Name of Mission	What did you most like about the mission?	Describe the easiest part of the mission.	Describe the most difficult part of the mission.	What do you think can be improved about the mission?	On a scale of 1-10, how well do you feel you communicated with your fellow Infinity Knights?	On a scale of 1-10, how well do you feel other Infinity Knights communicated with you?	On a scale of 1- 10, how much did you trust your fellow Infinity Knights to complete their assigned tasks in a timely manner?	Give 1-2 examples during the mission that helped increase/decrease the trust between you and your fellow Infinity Knights? (please don’t list names, only positions).	Give a situation in which you had to use problem solving skills during the mission.	During the mission, when did you have to be creative in coming up with a solution to a problem?	DreamFlight believes that working as a team is an important component for success. After completing this mission, describe three personality traits a great Infinity Knight would have.	Rate the amount of teamwork used to complete the mission, as compared to the amount of teamwork when working within a classroom	What job/role did you apply for on this mission? (first choice)	Did you get the job/role for which you applied?	Do you feel like you want to learn more about this job/role in the future after you have undertaken this role? 	Why or why not?	What other roles did you seem interested in and why?	What skills do you think a person acting in this particular job/role in the real world would need to have to be successful?	Did you feel pressure to meet deadlines or expectations of your position?	Why or why not?	Do you believe that every job was critical or contributed to the success of the mission? 	Why or why not?	If you didn’t get the job you wanted, do you think that affected how you did your job?	Why or why not?	What other roles did you seem interested in and why?	What skills do you think a person acting in this particular job/role in the real world, would need to have to be successful?	Did you feel pressure to meet deadlines or expectations of your position?	Why or why not?	Do you believe that every job was critical or contributed to the success of the mission? 	Why or why not?	Provide two specific examples as to how this mission tied directly in to what you have been learning with class.	What is something new that you have learned having completed the mission?
2018/03/11 8:40:18 PM AST	701122	8th	Contaminant	Finding the Fish	Controlling the Versabeam	Controlling the energy supply	Length 	7	6	7	The First Officer helping me with my role, working together with the pilot to get to the factory.	When the ship had an overload of energy	When the ships energy surged	Leadership, dedication, fierceness 	4	Physicist	Yes	Yes	I am interested in Physics 	The Hacker. I am interested in computers and software coding 	Hardworking	Yes	I felt that my role was important and that others relied on me	Yes	We only succeeded because of teamwork 									We are learning about pollution, also learning about how pollution affects the habitats of animals like fish 	To not give up when we are struggling 
2018/03/11 8:43:25 PM AST	701064	8th	Contaminant	I enjoyed working together with other people in my team to get things accomplished easier.	The easiest part for my job, the deck chief, was securing the guards on the ship and scanning the life forms around us.	The hardest part of the mission was getting everyone on the same page and getting them to all know what was happening. We had a hard time putting our numbers into the keypad when we had to.	I think it could be easier to understand the voices over the intercom and easier to get around the river without running into the sides and seeing where you were going. All of the stations break down very often due to the hacker and engineer too.	8	7	6	Some students did not pay attention to what was being said over the intercom and did not give the numbers we had to input while scanning the water. I could trust my fellow Infinity Knights with keeping the ship and people inside it safe.	We needed to use problem solving skills to figure out how to scan the water and catch the fish. Both took us a while to figure out.	We had to figure out a way to do all of our jobs at once while still helping each other and giving advice to the captain.	Perseverance, bravery, and confidence are all traits that would be very useful during the mission to get it done in time.	5	Communications	No									No	No matter the job, it's still important to try your hardest. Not everything goes the way as planned but you should still give full effort.	I was interested in the hacker because it seemed important yet still challenging.	They would need to think quick and be focused.	Yes	My station was shut down due to the hacker a lot so I couldn't always work with what I needed.	Yes	They all controlled something different yet all things being controlled were important. Without every part under control, the mission could go haywire.	We have been learning about ways to produce electricity and water is one of them. Contaminated water may affect the way water electricity is produced. In class, we also had to try to separate different products from dirty water and get the water clean again.	I learned that working together is a very important thing and everyone has something to do that is critical to the way we work.
2018/03/11 9:27:39 PM AST	421511	8th	Contaminant	I liked the plot of the mission. I found it to be very interesting and I thought that it was similar to what we were learning in class. 	The easiest part of this mission was scanning the water and retrieving the information from it. It was easy to analyze and explain to the operator.	The most difficult part of them mission was traveling in disguise. Some stations were having problems and in order to move, everyone had something to do, so it was difficult to get everyone to work together and work successfully. 	I think the mission could be improved if the training was more like the actual mission. Many things were similar, but some things were left out of the training that was vital for this mission to succeed, so sometimes we were having some problems with our jobs.	9	8	8	Our communications officer helped me tell the operator the results from the water scan, so I know I could rely on them to help communicate with everyone and help me collect information. 	An example of when we had to use problem solving skills during the mission was when we entered the territory where we would have to trespass to gather information. It took the entire crew to stop us from failing the mission. 	It took our crew a while to figure out how to scan the water, so we had to try every possible option in order to learn how it worked. 	A great Infinity Knight must be able to multitask. Every position has multiple components to it, so we all have to be able to balance our priorities. We also have to be confident in ourselves and in our team. We need to be able to rely on one another during the whole mission. Lastly, we have to be diligent and hard working. We all have many tasks to complete during the mission and we have to be able to do them as fast as we can.	5	First Office	No									No	No matter what job I get, I will do it to the best of my ability. I won’t be disappointed for getting any job because I feel very fortunate to even have the opportunity to do something like this.	I was interested in being an engineer because I was an engineer in 6th grade and I thought it was very exciting and fun. 	If someone had a role like this in the real world, I think they would need to be hard working and must have a clear understanding of their job. 	Yes	I was the captain, so I felt like it was my job to make sure everyone was working properly and if it was not, then I was not doing my job properly.	Yes	Every position was important because they all had something to contribute to the success of this mission and I couldn’t imagine gown much different it would be if we didn’t have every position filled.	This mission tied into what we’re learning in class by using the concept of pollution and diseases. 	Something new that I’ve learned, having completed the mission, is that both humans and animals can suffer from pollution caused by human activity and that it’s the job of the people to prevent these things from happening. 
2018/03/11 9:59:46 PM AST	421486	8th	Contaminant	Everyone trying to complete it.	Driving down into the water at the beginning.	Trying to avoid the ships that were attacking us in the water.	Teamwork and arguing.	7	6	7	Navigator was trying to be pilot too.	Some tasks were confusing.	When the captain had to figure out what to do.	"Teamwork
Boldness
Confidence "	4	Pilot	No									No	I still had to try my hardest depending on the job.	Captain because they told everyone what to do.	"Responsibility 
Dependability "	No	It isn’t real life.	Yes	All jobs are important.	Pollution and Teamwork	Contaminated water can do a lot to an area.
2018/03/11 11:35:24 PM AST	1502905	8th	Contaminant	I liked that the mission was more of a challenge than any of the past missions I have done. The mission required us to think and problem solve while having fun.	The easiest part of the mission was understanding the tasks that I had to complete.	The most difficult part of the mission was trying to carry out my tasks while my software was down, since the engineers were busy with other team members.	 I feel that the navigation system could be improved. During the mission, members of my team were having trouble navigating through the water.	10	10	8	In previous missions, others did not communicate well with me and as a result the missions did not go very well. During this mission, the captain did a great job at communicating with me and reporting to me for information.	During the mission, the captain and I were having trouble understanding a set of instructions. We tried many different solutions and eventually found one.	I had to be creative when my software was down. I had to gather information from other team members when I couldn’t complete my tasks.	An Infinity Knight should be patient, determined, and social.	5	Communications	Yes	Yes	Being able to communicate in the workplace, or with others in general, is a skill many people need that can be helpful.	I was also interested in the doctor and the deck chief. I was interested in the doctor job because I am thinking of going into the medical field in the future. I was interested in being the deck chief because it looked like an interesting job that requires critical thinking to solve problems.	To be successful in these jobs, you must have perseverance, focus, and a good work ethic.	Yes	I was communications, so I felt pressured when I was asked to respond to messages.	Yes	Each job plays a specific role that is needed to run the whole mission. Without each job, we could not accomplish the ultimate goal.									The mission added on to the idea of survival of the fittest, and it tied into the lessons about the way humans that effect the environment.	I learned that with determination, good communication, and teamwork, no job or task is to hard to at least try to succeed in.
2018/03/12 7:47:03 AM AST	701062	8th	Contaminant	My job	The whole beggining 	The very end	The tactical could have more to do	6	8	8	The engineer increased the trust between us by making my ammo and providing me with tools for success	To defeat ships at the end	When enemy’s were upcoming and I had to destroy them	Respect kindness and to be intelligent 	5	Tactical (formerly Gunner)	Yes	Yes	It was fun	I was also interested in engineer	The ability to act and think fast 	Yes	It was very demanding and it would not be good to fail	Yes	Every job was very crucial in its own way									"The dirty water
Pollution"	There are ways to face dangers like pollution 
2018/03/12 9:07:04 AM AST	421399	8th	Contaminant	I didn’t like it. I did nothing at all because I was not given directions neither the other data collector	Nothing	Having to sit and watch with nothing to do	Take out the data collector and even split the classes into 2 groups if there are extra people because it is not fun not being able to do anything 	1	1	9	Some people did a good job but also had fun an others didn’t know what they where doing while I was sitting here doing nothing. Also, some people where messing around	I walked around a little to try to help 	I looked it up on the computer 	Courage, patience’s, teamwork	5	Communications	No									Yes	Because if you really want something and don’t get it. It is hard to get it off your mind	Doctor, communications, hacker, mostly everything except data collector 	Social skills	No	I couldn’t do anything 	No	Some where useless	We have bee learning about global warming and pollution and the mission contributed to the pollution part	Don’t pick something you don’t know about
2018/03/12 9:12:34 AM AST	701184	8th	Contaminant	The lure and scare	Going up the river	Fighting the ships at the end	We should not be pounded with ships at the end	8	8	8	The pilot and navigator seemed to not know what to do	When we found the fish	When we found the fish	Trust, the ability to communicate, and the ability to stay calm under pressure. 	5	First Office	No									No	I was still able to do my best either the engineer position	I seemed interested in all leader positions because I like to be a leader	The ability to work with others and communicate	Yes	Every five seconds, something on the ship broke. Especially when we were fighting the enemy ships. 	Yes	The pilot couldn’t have been successful without the navigator. The two engineers also had to work side by side to figure out what needed fixed. 	We were learning about pollution, so the contaminants in the water showed how it can affect food supply. 	I learned that pollutants can directly affect a food and water source
2018/03/12 12:38:31 PM AST	701084	8th	Contaminant	I liked how we got to save the city from hazardous conditions, and how it helped us with what we are learning in class.	I personally thought that the easiest part of the mission was the water scans because we either had to enter a code or pressurize air lockers.	The most difficult part of the mission was probably defeating the patrol ships at the factory, because the gunner, tactical, kept running out of amo and the engineers couldn't work fast enough, and the pilot couldn't keep the ship pointed at the patrol ships.	I personally think that the width of the river could be fixed because it was very difficult for the pilot to pass through the river without bumping into anything.	9	2	10	when the caption needed information but didn't know how to phrase it he asked the physiologist and she helped him out, and when I as the biologist needed to know what abilities to give the creature the caption gave me great advice.	We had to use problem solving skills while we were fighting the patrol ships because most of the ship was being destroyed and everyone had to help the engineers as much as they possibly could.	when mutating the creature because in different situations it needed different abilities and i had to be creative ass possible to give the mutations it needed.	Communication, success, and courage	5	Biologist	Yes	Yes	Biology is actually something i want to do in the future.	Hacker because I also have an interest in computers.	knowledge on the job and what they are being asked to do.	Yes	Because you want to help out as much as possible.	Yes	we had to keep the ship safe and everyone healthy									we were learning about pollution and power plants.	that any pollution can effect an enviornment 
2018/03/12 2:30:10 PM AST	avery	8th	Contaminant	how we all had to work together 	doing all of the water scans 	scanning the fish 	make it easier to steer because it wasn’t working for the pilot 	10	9	10	the captain worked well with all of us to help out 	we had to use each other codes to do the water scan so we had to work together 	when helping the others who need it 	"courage 
bravery 
smart "	5	Pilot	No									No	because i would’ve preformed the same 	i was not in school to apply for a role 	sense of direction 	Yes	because i didn’t want everyone to fail if i messed up 	Yes	because everyone needed to help each other	people skills and water quality 	everyone is important no matter what job they have 
2018/03/12 2:33:54 PM AST	421483	8th	Contaminant	I got more calls and messages then the previous two years.	All of it was easy because I knew what I was doing.	Trying to figure out how to do a water scan.	I think the entire animation could be done better.	5	4	9	The navigator was always yelling at the pilot to do what they already know. 	Trying to hear the captain over everyone yelling over him.	When we could not figure out how to do a scan.	Kindness great hearing and fast to help 	3	Communications	Yes	No	I have done it for 3 years and it is getting boring.	Doctor I had to do that the first year because noone was the doctor.	Fast and efficient 	No	I got used to it 	Yes	Everyone had a job that they did 									Filter water and talk about places that need to filter water 	You can only trust two people you and the captain 
2018/03/12 2:34:04 PM AST	23tamangs1	8th	Contaminant	Finding fish dieing 	Finding fish	Surviving 	Work together	6	8	8	Working together 	Fighting 	Fighting finding fish	Working together 	4	Hacker	Yes	Yes	Because it’s cool and I like hacking	Engineer I like doing things Engineer do	Work together quick knows what u r doing	No	Idk	No	I don’t understand 									How u work and find the fish and do your jobs and observe the water 	Work hard be quick know what u r doing
2018/03/12 2:36:17 PM AST	701213	8th	Contaminant	Destroying the enemies after being discovered by the Vikasa company	Finding the fish 	Finding out why the river was contaminated 	Lesser warning signals on the screen	5	5	7	Someone releasing a chimera to kill a fish	We had to find out why the fish were gathered near the area	When the enemies came	Wise, Able to communicate well, Can think of a quick solution to the problem 	5	Tactical (formerly Gunner)	Yes	Yes	It was a nice experience	Pilot because I can nagivate well 	Good aim	No	It was a simple task to do	Yes	Everyone played a major role in the mission, and if they were not doing their job well it would also affect the other roles									The fish were under the waterfall because it was fresh water pouring in, and the Sandflies can transmit dieses 	Nuclear waste can make dieses 
2018/03/12 2:36:25 PM AST	701063	8th	Contaminant	I like the fact that we could be easily destroyers by the factories guns it kept the security under high stress and it was fun 	The easiest part of the mission was stopping the hackers for me	The most difficult part of the mission was trying to find the fish to get near the ship and stay with the ship	I think that if we had more time we should be able to close down the factory and be celebrated on by everyone in the city 	7	8	4	Pilot was not good with direction and the navigator was going the wrong speed most of the time	We had to use problem solving skills when we were under attack trying to find the fish	We had to be creative in solving some of the problems such as trying to find where and how the water was in bad condition 	Wisdom, Responsibility, and partnership 	4	Security Chief	Yes	No	I’m not interested in science or anything affiliated with science 	I would of Been interested in being captain and leading	Leadership is a key to life to be respected 	No	I don’t feel much pressure doing anything and I’m pretty sure I did a good job in the mission	Yes	Without anyone of the people doing there jobs we could of easily died quickly and eventually fail the mission									We are learning about how to make water clean and usable and how to figure out problems which we are always doing in class	I learned to be better under pressure and hopefully more prepared if I ever get to use the IKS highlander again 
2018/03/12 2:37:25 PM AST	21hailsn@bwschools.net	8th	Contaminant	I liked when we succeeded 	The easiest part was logging in on the ipads	The most difficult part was when we lost the fish, and had to get them back to our ship.	I think that the mission was done really well, but I think we need clearer information.	10	10	8	One example was when somebody wasn’t really sure what they were supposed to be doing, and it just made the mission a little bit more difficult to succeed. Something that increased trust between my classmates was when another person helped me at my station and we dealt the situation correctly. 	  When each station needed to be rebooted, like fixed. The captin, engineer, and I worked together to help fix each station. 	I had to be creative when I was trying to figure out what each symbol on the navigators screen stood for.	Kindness, patience, and especially the ability to hear other people’s ideas.	5	Navigator	Yes	No	I honestly am not interested in being a full time navigator, but I applied for it because I was interested in working with the pilot to hopefully succeed.	I was interested in the role of being doctor. This is because when I graduate high school I would be interested in going into that major for college.	I think you should have the skills to work with others, but also to be a leader. 	Yes	I felt pressure because I was expected to know exactly where to go.	Yes	Everyone played an important role in the mission...everybody was needed.									This mission connects with what we are learning in class because the mission was similar to what we were doing in the classroom. Both lessons had been based around team work.	I learned that listening to what others believe to be the right thing to do is extremely important.
2018/03/12 2:37:39 PM AST	1500755	8th	Contaminant	Everyone had to work together.	Driving around the waters and scanning the water	Getting the fish and trying to teleport back to base.	Action latency can be lowered between the iPads and the main machine.	8	5	8	It helps me increase trust because for example, I was the Gunner and I needed the engineer to give me misses in time to kill enemies.	When trying to kill the enemies as the Gunner.	When I was trying to defend the ship from destroying when defending the fish.	The traits would be brave, intelligent, and experienced.	4	Tactical (formerly Gunner)	Yes	Yes	Because I could join the military and I could be a Gunner for something like a tank.	Hacker	They would have to know alot about the subject.	No	Because all I had to do was to protect the ship.	Yes	Because everyone has a big role in doing their job to succeed.									Because we are learning about waters and that it can be harnful if something happens to like a river or and ocean.	Teamwork is always key to succeed in a mission.
